created_at,RMS,Kurtosis,Skew,Spec Entropy,Spec Total,Spec Centroid,Crest,STD
2026-02-07 22:27:07,1.01037,8.71717,-1.05479,0.96517,6.19405,176.70868,1.02819,0.01043
2026-02-07 22:37:02,1.01031,26.53066,-3.14633,0.97567,5.08595,194.15073,1.01293,0.00627
2026-02-07 22:57:03,1.01121,7.80906,-0.5137,0.92421,16.56994,149.78806,1.12448,0.02797
2026-02-07 23:07:02,1.01136,12.09666,-1.61401,0.97029,5.27708,182.0452,1.02095,0.00776
2026-02-07 23:17:01,1.00939,9.2702,-1.17218,0.97448,5.43821,184.8349,1.02557,0.00843
2026-02-07 23:37:00,1.01077,5.26061,-0.66463,0.95802,6.45699,192.97433,1.0192,0.00863
2026-02-07 23:46:57,1.01046,37.7115,-4.43909,0.97957,3.54366,192.49185,1.01051,0.00556
2026-02-07 23:56:56,1.00847,8.45551,-0.35388,0.96876,10.17819,180.77725,1.10141,0.02123
2026-02-08 00:06:55,1.01025,14.16802,-1.97376,0.97504,5.78436,193.29939,1.03168,0.01027
2026-02-08 00:16:52,1.00534,50.69522,-5.01359,0.98434,2.65105,198.33224,1.01033,0.00534
2026-02-08 00:18:36,1.01292,28.4169,-0.30323,0.98261,2.841,188.10193,1.06408,0.00778
2026-02-08 00:28:36,1.01186,3.33292,-0.06509,0.99124,2.02389,197.98967,1.00823,0.0027
2026-02-08 00:48:38,1.01239,3.49044,-0.17327,0.98922,2.28185,195.22433,1.0103,0.00362
2026-02-11 13:42:13,1.01266,20.79387,-2.58706,0.984,2.53672,198.3911,1.01022,0.00397
2026-02-11 13:49:01,1.01253,4.52811,-0.22417,0.95758,11.43884,179.43927,1.04066,0.01238
